"Group","Model","Formula","Intercept","Slope1","Slope2","AIC","AICc"
"Stressor: W","Linear","yi ~ Latitude_abs",-0.582822228828407,0.0129492481422225,NA,361.121319141378,361.327504708388
"Stressor: W","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",-0.597768263237908,0.0138937963348333,-1.22604358690376e-05,362.460167600346,362.771048429362
"Stressor: W","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",-0.561894491236626,-0.183423590655446,0.0878076491633131,362.463974857783,362.774855686799
"Stressor: A","Linear","yi ~ Latitude_abs",0.141210233959335,-0.00390119372565594,NA,503.582889738249,503.692478779345
"Stressor: A","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",0.495672360997234,-0.0246712801266426,0.000274172023335982,501.555699189884,501.720534354719
"Stressor: A","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",1.18914291793238,-0.552518350383069,0.060424888964618,503.780495251419,503.945330416255
"Stressor: A-W","Linear","yi ~ Latitude_abs",-0.694535650074014,0.0149094644869459,NA,15.7181816841189,18.3848483507855
"Stressor: A-W","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",1.03091589549973,-0.112250086459447,0.00208771853831479,15.1591771903648,19.4448914760791
"Stressor: A-W","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",21.2111838322509,-13.5353423225918,2.1034893240196,13.829684754953,18.1153990406673
"Stressor: H","Linear","yi ~ Latitude_abs",0.642407384856844,-0.0214160773570405,NA,45.3821591919795,47.4874223498742
"Stressor: H","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",1.34830523021388,-0.0571363881855855,0.000429515447773937,46.3900091041866,49.7233424375199
"Stressor: H","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",5.28283445997527,-2.20464946719475,0.19056922839022,46.4409044257212,49.7742377590545
"Stressor: Overall","Linear","yi ~ Latitude_abs",-0.194611585821962,0.00336839892770305,NA,976.084561095266,976.15035056895
"Stressor: Overall","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",-0.103947934953966,-0.00208662344868222,7.17361288288903e-05,976.623726752778,976.722573540257
"Stressor: Overall","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",-0.844200186009439,0.347441918226448,-0.0359305011997171,976.842785574724,976.941632362203
