"Group","Model","Formula","Intercept","Slope1","Slope2","AIC","AICc"
"Taxa: Algae+Protist","Linear","yi ~ Latitude_abs",0.0910617280157077,0.00354641447787353,NA,247.612782725574,247.960608812531
"Taxa: Algae+Protist","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",0.496338701683806,-0.0197865970057931,0.000277425877885715,246.63777145289,247.164087242363
"Taxa: Algae+Protist","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",2.92494325007801,-1.71710917965372,0.264835628752048,247.396617341985,247.922933131459
"Taxa: Radiata","Linear","yi ~ Latitude_abs",-0.329530603919476,0.00284563236361482,NA,100.518615584692,101.407504473581
"Taxa: Radiata","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",-0.983454738997366,0.0474597850927226,-0.000626092581805257,100.955929674717,102.319566038353
"Taxa: Radiata","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",-5.70775578950137,3.171649774688,-0.452776331756604,101.071198550876,102.434834914512
"Taxa: Lophotrochozoa","Linear","yi ~ Latitude_abs",-0.119133646963538,0.0012865783626072,NA,348.126140297911,348.274288446059
"Taxa: Lophotrochozoa","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",0.378769631567509,-0.0224011264047757,0.000269182895908935,347.970729985649,348.193778312786
"Taxa: Lophotrochozoa","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",7.77381129694729,-4.33340611852615,0.596756422573486,347.654669647658,347.877717974795
"Taxa: Ecdysozoa","Linear","yi ~ Latitude_abs",-0.122363605818632,-0.00286609309808962,NA,167.329523567097,167.710475948049
"Taxa: Ecdysozoa","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",-0.910376382422421,0.0546601873602662,-0.000827525928767298,162.646636485437,163.223559562361
"Taxa: Ecdysozoa","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",-6.24317992932407,3.81524769428798,-0.587610208554338,161.868137598102,162.445060675025
"Taxa: Deuterostomia","Linear","yi ~ Latitude_abs",-0.103472351447935,-0.00285757816086932,NA,84.9023713328338,85.6570883139659
"Taxa: Deuterostomia","Quadratic (raw)","yi ~ Latitude_abs + Latitude_abs^2",-0.765064628236133,0.0355400809316139,-0.000493736731100352,83.8079628484149,84.961809002261
"Taxa: Deuterostomia","Log-quadratic","yi ~ log(Latitude_abs) + log(Latitude_abs)^2",-6.92444523993973,4.13866773692228,-0.623862949322742,82.8197343205428,83.9735804743889
